AK,"ALASKA DEPARTMENT OF PUBLIC SAFETY",16,1800,2016-04-04,2020-03-31
AK,"ANCHORAGE POLICE",10,1087,2017-12-31,2020-03-31
AK,"DOI/NPS DENALI",6,54,2016-04-04,2017-09-30
AK,"DOJ/ATF ANCHORAGE",6,48,2016-04-04,2017-09-30
AK,"DOJ/DEA ANCHORAGE",6,54,2016-04-04,2017-09-30
AK,"DOJ/FBI ANCHORAGE",6,12,2016-04-04,2017-09-30
AK,"DOJ/USMS ALASKA",1,6,2016-04-04,2016-04-04
AK,"DOJ/USMS ANCHORAGE",5,28,2016-10-03,2017-09-30
AK,"FAIRBANKS POLICE",11,11,2017-09-30,2020-03-31
AK,"HAINES BOROUGH POLICE",8,40,2018-06-30,2020-03-31
AK,"JUNEAU POLICE",16,240,2016-04-04,2020-03-31
AK,"KETCHIKAN POLICE",1,4,2016-04-04,2016-04-04
AK,"KODIAK POLICE",8,40,2016-04-04,2018-03-31
AK,"NORTH POLE POLICE",16,16,2016-04-04,2020-03-31
AK,"PALMER POLICE",1,4,2016-04-04,2016-04-04
AL,"ABBEVILLE POLICE",15,443,2016-10-03,2020-03-31
AL,"ADAMSVILLE POLICE",16,434,2016-04-04,2020-03-31
AL,"ALABAMA AM UNIVERSITY POLICE [HIGHER-ED]",9,18,2016-04-04,2018-06-30
AL,"ALABAMA DEPARTMENT OF CONSERV RES MARINE DIVISION",1,3,2016-04-04,2016-04-04
AL,"ALABAMA DEPARTMENT OF CONSERVATION MONTG",15,1919,2016-04-04,2019-12-31
AL,"ALABAMA DEPARTMENT OF CORRECTIONS",15,75,2016-04-04,2019-12-31
AL,"ALABAMA DEPARTMENT OF PUBLIC SAFETY HWY PATROL",1,1,2016-04-04,2016-04-04
AL,"ALABAMA IRONWORKS TANNEHILL RANGERS",12,59,2016-04-04,2019-03-31
AL,"ALABAMA LAW ENFORCEMENT AGENCY",16,1750,2016-04-04,2020-03-31
AL,"ALABAMA STATE PARKS DIVISION",15,1396,2016-04-04,2019-12-31
AL,"ALABAMA STATE UNIVERSITY POLICE [HIGHER-ED]",9,62,2018-03-31,2020-03-31
AL,"ALABASTER POLICE",16,624,2016-04-04,2020-03-31
AL,"ALBERTVILLE POLICE",16,556,2016-04-04,2020-03-31
AL,"ALEXANDER CITY POLICE",16,413,2016-04-04,2020-03-31
AL,"ALTOONA POLICE",16,42,2016-04-04,2020-03-31
AL,"ANDALUSIA POLICE",16,515,2016-04-04,2020-03-31
AL,"ANNISTON POLICE",16,445,2016-04-04,2020-03-31
