State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,DEMIL Code,Date Shipped,Justification
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701100,8415,014618341,"SHIRT,COLD WEATHER",EA,1,60.25,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701095,8415,015388598,"SHIRT,COLD WEATHER",EA,3,38.01,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701096,8430,008236907,"BOOTS,EXTREME COLD",PR,1,135.3,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701102,8465,015236276,"FIELD PACK,LARGE,SE",SE,1,263.25,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701109,8465,015236276,"FIELD PACK,LARGE,SE",SE,1,263.25,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701110,8465,015472694,SLEEPING BAG,EA,8,103.82000000000001,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701097,8415,015458724,"PARKA,EXTREME COLD",EA,1,116.65,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701090,8415,015387787,"UNDERSHIRT,COLD WEA",EA,7,18.1,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701092,8415,015388745,"DRAWERS,COLD WEATHE",EA,4,28.04,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701105,8465,015250578,RIFLEMAN SET,SE,2,336.33,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701086,8465,014456274,MODULAR SLEEP SYSTE,EA,1,263.05,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701088,8415,015225347,"HELMET,FLYER'S",EA,1,1453.38,D,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH HELICOPTER CREWS AND PASSENGERS_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701111,8465,015472644,"COVER,BIVY",EA,9,134.25,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701099,8430,006555549,"BOOTS,EXTREME COLD",PR,1,212.21,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701089,8415,015225347,"HELMET,FLYER'S",EA,1,1453.38,D,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH HELICOPTER CREWS AND PASSENGERS"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701094,8430,006555553,"BOOTS,EXTREME COLD",PR,1,212.21,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701101,8415,015460019,"TROUSERS,EXTREME CO",EA,1,106.62,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701093,8415,015476681,"UNDERSHIRT,COLD WEA",EA,7,18.1,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701108,8415,015388727,"DRAWERS,COLD WEATHE",PR,8,28.04,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ62701103,8465,015250578,RIFLEMAN SET,SE,7,336.33,A,2016-10-05 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA WILDLIFE TROOPERS_x000D_
FOR USE WITH INTERIOR PATROLS STATEWIDE ALASKA_x000D_
"
