State,Requesting Agency Name,Equipment Requested,Quantity Approved,Date Request was Approved (Pending Allocation)
AL,Abbeville PD,Peacekeeper,1,2016-08-09 00:00:00
AL,Houston CSO,HMMWV,2,2016-08-09 00:00:00
AZ,Superior PD,HMMWV,3,2016-04-26 00:00:00
CA,California Office of Emergency Services Law Enforcement,"C-12
PC-12
TURBO JET","1

1",2016-02-26 00:00:00
CA,Marina PD,MRAP,1,2016-08-09 00:00:00
CT,Newtown PD,HMMWV,1,2016-08-09 00:00:00
FL,Hialeah PD,HMMWV,2,2016-09-16 00:00:00
FL,Juno Beach PD,HMMWV,1,2016-08-09 00:00:00
GA,Fannin CSO,HMMWV,11,2016-05-05 00:00:00
IL,Piatt CSO,HMMWV,1,2016-06-20 00:00:00
IL,Pinegree Grove PD,HMMWV,2,2016-10-30 00:00:00
IL,Schuyler CSO,HMMWV,2,2016-12-19 00:00:00
IL,Village of Green Valley PD,"Hemtt, Cargo Tuck",1,2016-04-07 00:00:00
IN,Evansville PD,Dump Truck,2,2016-02-20 00:00:00
IN,Milford PD,HMMWV,1,2016-02-22 00:00:00
KS,Montgomery CSO,HMMWV,4,2016-08-09 00:00:00
KY,Alexandria PD,HMMWV,2,2016-04-04 00:00:00
KY,Green County SO,HMMWV,3,2016-02-29 00:00:00
KY,Mason County SO,HMMWV,2,2016-02-29 00:00:00
KY,Metcalfe CSD,"Truck, Cargo",1,2016-11-30 00:00:00
KY,Metcalfe CSD,HMMWV,1,2016-11-30 00:00:00
KY,Monticello PD,"Truck, Cargo",2,2016-08-09 00:00:00
KY,Morehead PD,HMMWV,1,2016-10-05 00:00:00
KY,Morehead PD,MRAP,1,2016-10-05 00:00:00
MD,Cumberland PD,MRAP,1,2016-02-22 00:00:00
MT,Havre PD,MRAP,1,2016-02-29 00:00:00
NC,Aberdeen PD,"Riot Batons
Riot Helmets
Riot Shields","30
30
30",2016-10-04 00:00:00
NJ,Garfield City PD,"Truck, Cargo",2,2016-05-05 00:00:00
NJ,Lacey Twp PD,Wrecker,1,2016-04-21 00:00:00
NJ,Linden PD,MRAP,1,2016-03-16 00:00:00
NJ,Mansfield Twp PD,HMMWV,2,2016-02-11 00:00:00
NJ,Point Pleasant Beach PD,"Truck, Cargo",2,2016-05-26 00:00:00
NJ,Point Pleasant Beach PD,"Van, Truck",2,2016-02-04 00:00:00
OK,Owasso Pd,HMMWV,2,2016-06-27 00:00:00
OR,Florence PD,HMMWV,1,2016-04-08 00:00:00
PA,Lower Paxton Township PD,HMMWV,2,2016-08-09 00:00:00
SC,South Carolina Law Enforcement Division,"Riot Batons
Riot Helmets
Riot Shields","200
200
200",2016-10-11 00:00:00
TN,Crossville PD,HMMWV,1,2016-09-16 00:00:00
TN,Crossville PD,MRAP,1,2016-06-27 00:00:00
TN,Cumberland CSO,"Truck, Cargo",1,2016-11-29 00:00:00
TN,Cumberland CSO,HMMWV,1,2016-11-29 00:00:00
TN,Cumberland CSO,MRAP,1,2016-11-29 00:00:00
TN,Green CSO,HMMWV,1,2016-06-07 00:00:00
TN,Green CSO,"Truck, Cargo",2,2016-06-07 00:00:00
TN,Greenville PD,Armored HMMWV,1,2016-12-19 00:00:00
TN,Johnson City PD,HMMWV,2,2016-06-27 00:00:00
TN,Morristown PD,LAV,1,2016-06-27 00:00:00
TN,Moscow,HMMWV,1,2016-04-15 00:00:00
TN,Trenton PD,HMMWV,1,2016-04-07 00:00:00
TX,Harris County Constable PCT 5,HMMWV,2,2016-08-09 00:00:00
TX,Harris County Constable PCT 5,"Truck, Cargo",1,2016-08-09 00:00:00
TX,Normangee PD,HMMWV,1,2016-05-05 00:00:00
TX,Olney PD,HMMWV,2,2016-05-26 00:00:00
TX,Pampa PD,HMMWV,1,2016-12-07 00:00:00
TX,Pampa PD,MRAP,1,2016-12-07 00:00:00
TX,Seymour PD,HMMWV,1,2016-09-16 00:00:00
