Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2374142,AK,ANCHORAGE POLICE DEPARTMENT,5120,016118069,"SHOVEL,HAND",EA,4,32.51,2019-05-13 20:51:55.999996,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT BOMB SQUAD IN POST BLAST INVESTIGATIONS AND MITIGATION.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401256,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,11,39.38,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401255,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,10,39.38,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401260,AK,ANCHORAGE POLICE DEPARTMENT,8415,015138143,"VEST,SURVIVAL",EA,1,866,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2401257,AK,ANCHORAGE POLICE DEPARTMENT,8340,016004807,TARPAULIN,EA,1,78.91,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401258,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,26,39.38,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401259,AK,ANCHORAGE POLICE DEPARTMENT,8415,012968878,"VEST,TACTICAL LOAD",EA,2,48.8,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT BOMB SQUAD IN TRAINING AND OPERATIONS.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2380435,AL,AL STATE PARKS DIV LEA,8340,014594352,"TENT, SUPPORT TRAILER,UTILITIES, DRASH",EA,1,93124.49,2019-05-25 18:00:48.000004,"TO PROVIDE CLIMATE CONTROL FOR LAW ENFORCEMENT OFFICES, STORAGE AREAS, SHELTERS, AND COMMAND CENTERS. AL STATE PARKS HAS 21 LOCATIONS ACROSS THE STATE AND MULTIPLE LE STRUCTURES.",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2390600,AL,AL STATE PARKS DIV LEA,5130,014461303,"SAW,CIRCULAR,PORTABLE,ELECTRIC",EA,6,255.2,2019-06-15 01:35:40.000002,FOR USE IN REPAIRING AND MAINTAINING STORAGE AND OPERATIONS STRUCTURES AND EQUIPMENT SUPPORTING PARK RANGERS IN THEIR LAW ENFORCEMENT AND PATROLLING DUTIES AT 17 LOCATIONS ACROSS ALABAMA.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2382579,AL,AL STATE PARKS DIV LEA,4230,013035225,DECONTAMINATING APPARATUS,EA,2,14000,2019-05-30 19:34:31.000002,"FOR DECONTAMINATING, DISINFECTING, AND CLEANING LAW ENFORCEMENT GEAR, EQUIPMENT, AND VEHICLES",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2361055,AL,AL STATE PARKS DIV LEA,8145,014670448,"CONTAINER,SPECIAL",EA,2,57958.7,2019-04-21 13:46:44.000003,"TO STORE, PROTECT, AND SECURE LAW ENFORCEMENT EQUIPMENT AND SUPPLIES AT TWO STATE PARKS WHICH HAVE NOT PREVIOUSLY RECEIVED THESE TYPE STORAGE CONTAINERS.",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2380433,AL,AL STATE PARKS DIV LEA,4120,DSAIRCOND,AIR CONDITIONER,EA,1,1800,2019-05-25 18:00:48.000004,"TO PROVIDE CLIMATE CONTROL FOR LAW ENFORCEMENT OFFICES, STORAGE AREAS, SHELTERS, AND COMMAND CENTERS. AL STATE PARKS HAS 21 LOCATIONS ACROSS THE STATE AND MULTIPLE LE STRUCTURES.",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2361056,AL,AL STATE PARKS DIV LEA,2340,005403900,"SCOOTER,MOTOR",EA,1,8909.96,2019-04-21 13:46:44.000003,FOR USE BY LAW ENFORCEMENT PERSONNEL TO PATROL AREAS NOT READILY ACCESSIBLE TO STANDARD SIZE LE PATROL VEHICLES.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2355936,AL,AL STATE PARKS DIV LEA,2320,015436363,"TRUCK,PANEL",EA,1,13009,2019-04-11 00:54:59.000002,FOR MAINTENANCE AND REPAIR OF LAW ENFORCEMENT SUPPORT FACILITIES AND STRUCTURES IN MULTIPLE STATE PARK LOCATIONS ACROSS THE STATE OF ALABAMA,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2372665,AL,ALABASTER POLICE DEPT,1240,014111265,"SIGHT,REFLEX",EA,15,332,2019-05-09 17:02:52.999996,THE CITY OF ALABASTER POLICE DEPARTMENT WILL USE THIS EQUIPMENT FOR UPGRADE CURRENT PATROL RIFLE CAPABILITIES.  THESE WILL ALSO MAKE THE PATROL OFFICER MY EFFICIENT AND ACCURATE IN THEIR OFFICIAL DUTIES.,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
