State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Shipped,Justification
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73111485,1240,014397265,"MOUNT,QUICK RELEASE",EA,50,42.03,2017-11-09 00:00:00,FOR USE BY ALASKA STATE TROOPERS FOR MOUNTING REFLEX SIGHTS TO PATROL RIFLES FOR LAW ENFORCEMENT OFFICERS IN THE FIELD.
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73111503,8540,002627178,"TOWEL,PAPER",BX,14,24.49,2017-11-14 00:00:00,FOR USE BY THE DEPT. OF PUBLIC SAFETY AT OUR LAW ENFORCEMENT RECRUIT TRAINING ACADEMY.  RECRUITS MUST WASH THEIR HANDS MANY TIMES A DAY TO MAINTAIN PROPER HYGIENE AND AVOID THE SPREAD OF GERMS WHICH COULD CAUSE THE ENTIRE CLASS TO BECOME SICK.
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73206282,7830,DSRVTRCMP,"RECREATIONAL CAMPER, TRUCK TRAILER",EA,1,3000,2017-11-22 00:00:00,FOR USE DURING ALASKA WILDLIFE AND FISHING INVESTIGATIONS THROUGHOUT THE STATE OF ALASKA.  PUBLIC SAFETY USE DURING ENFORCEMENT ACTIVITIES.
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73216613,8465,015245250,ASSAULT PACK,EA,15,77.21,2017-11-22 00:00:00,"DEPARTMENT OF PUBLIC SAFETY
ALASKA WILDLIFE TROOPERS
DISTRIBUTED TO TROOPERS IN RURAL AREAS."
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73216614,5120,008785932,"INTRENCHING TOOL,HAND",EA,6,84.58,2017-11-22 00:00:00,"DEPARTMENT OR PUBLIC SAFETY
ALASKA WILDLIFE TROOPERS
WILL BE USED AT THE AWT TROOPER POST FOR MAINTENANCE USE."
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73394600,7350,006414517,"CUP,DISPOSABLE",BX,2,72.55,2017-12-13 00:00:00,"STATE OF ALASKA
DEPARTMENT OF PUBLIC SAFETY
TROOPER ACADEMY
CUPS FOR USE IN TROOPER CAFETERIA"
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73534263,7530,015623260,"PAPER,COPYING,XEROGRAPHIC PROCESS",BX,5,23.3,2017-12-29 00:00:00,"ALASKA DEPARTMENT OF PUBLIC SAFETY
STATE TROOPERS
USE PAPER FOR PURPOSE OF PRINTING DOCUMENTS."
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73033360,5180,015068287,"TOOL KIT,SMALL ARMS",KT,1,1800,2017-11-03 00:00:00,THE ANCHORAGE POLICE DEPARTMENT WILL UTILIZE THIS IN THE ARMORY FOR SERVICING AND REPAIR OF SMALL ARMS.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73185588,8415,015386289,"PARKA,EXTREME COLD",EA,9,116.45,2017-11-22 00:00:00,FOR USE BY ANCHORAGE POLICE DEPARTMENT INVESTIGATIONS AND TRAINING IN COLD WEATHER CLIMATE.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73185589,8415,015458642,"PARKA,EXTREME COLD",EA,3,116.45,2017-11-22 00:00:00,FOR USE BY ANCHORAGE POLICE DEPARTMENT INVESTIGATIONS AND TRAINING IN COLD WEATHER CLIMATE.
