Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2008644,AK,ANCHORAGE POLICE DEPARTMENT,7021,DSHANDHE0,HANDHELD DEVICE,EA,60,520,2017-11-14 19:35:25.000002,"FOR USE BY ANCHORAGE POLICE DEPARTMENT IN TACTICAL SITUATIONS, INVESTIGATIONS, AND RESEARCH ANALYSIS.",CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,2017729,AK,ANCHORAGE POLICE DEPARTMENT,8465,015800981,ASSAULT PACK,EA,1,77.21,2017-11-21 21:28:29.000001,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TRAINING AND FIELD INVESTIGATIONS.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2070635,AK,ANCHORAGE POLICE DEPARTMENT,8465,014456274,MODULAR SLEEP SYSTE,EA,15,262.6,2017-12-19 13:15:11.999998,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER OPERATIONS.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2027309,AK,ANCHORAGE POLICE DEPARTMENT,7021,DSHANDHE0,HANDHELD DEVICE,EA,3,1200,2017-11-30 13:30:14.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN INVESTIGATIONS.,CANCELLED: Could not confirm with the site what the property really was. Could contain personal sensitive data.
LESOHQ,2072323,AK,ANCHORAGE POLICE DEPARTMENT,4020,013634919,"CORD,FIBROUS",SL,5,28.92,2017-12-20 22:24:30.000004,"FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TACTICAL TRAINING. I KNOW I HAVE AN OVERDUE RECEIPT, HOWEVER, LESO IS WORKING ON TRACKING DOWN THE SHIPMENT.",RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2072322,AK,ANCHORAGE POLICE DEPARTMENT,4020,012466986,"ROPE,FIBROUS",EA,2,21.5,2017-12-20 22:24:30.000004,"FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TACTICAL TRAINING.  I KNOW I HAVE AN OVERDUE RECEIPT, HOWEVER, LESO IS WORKING ON TRACKING DOWN THE SHIPMENT.",RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2009333,AK,ANCHORAGE POLICE DEPARTMENT,7021,DSHANDHE0,HANDHELD DEVICE,EA,40,520,2017-11-15 13:34:16.999997,"FOR USE BY ANCHORAGE POLICE DEPARTMENT IN TACTICAL TRAINING, RESEARCH AND INVESTIGATIONS.",CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,1976576,AL,ABBEVILLE POLICE DEPT,2330,DSTRAILE1,TRAILER,EA,1,10600,2017-10-18 10:19:33.999998,ABBEVILLE PD COULD USE THIS ITEM FOR TRAFFIC IN OUR CITY DUE TO IT BEING DESIGNATED A HOT SPOT FROM NTS DUE TO SPEED RELATED ACCIDENTS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2009389,AL,ABBEVILLE POLICE DEPT,2330,DSTRAILE1,TRAILER,EA,1,63000,2017-11-15 14:46:13.999999,"ABBEVILLE PD COULD USE THIS ITEM TO TRANSPORT AWARDED EQUIPMENT I.E. BULLDOZER, MRAP, AND HMMV'S",CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,1996373,AL,ABBEVILLE POLICE DEPT,2330,DSTRAILE1,TRAILER,EA,1,10600,2017-11-02 10:14:59.000004,ABBEVILLE PD COULD USE THIS ITEM FOR SPEED REDUCTION IN OUR HOTSPOT AREAS AS WELL AS SCHOOL ZONES.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,1970540,AL,ALEXANDER CITY POLICE DEPT,2340,DSATV4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,5500,2017-10-13 10:01:29.000004,THIS CAN BE USED BY OUR OFFICER TO PATROL REMOTE AREAS TAHT WE HAVE RECENTLY OBTAINED ALONG THE SHORE LINE OF OUR LOCALE LAKE.,CANCELLED:  Item(s) has already been approved for another agency.
