Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2451077,AK,ANCHORAGE POLICE DEPARTMENT,8415,DSMITTENS,"MITTENS, COLD WEATHER",PR,1,170.01,2019-10-07 18:40:07,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND OPERATIONS.,PAPERWORK: Your agency must have a State Plan of Operation SPO uploaded into FEPMIS before requesting excess DoD property in RTD Web. Please contact your LESO State Coordinators Office.
LESOHQ,2451076,AK,ANCHORAGE POLICE DEPARTMENT,8105,012213234,"BAG,PLASTIC",BX,3,38.57,2019-10-07 18:40:07,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN EVIDENCE PACKAGING AND STORAGE.,PAPERWORK: Your agency must have a State Plan of Operation SPO uploaded into FEPMIS before requesting excess DoD property in RTD Web. Please contact your LESO State Coordinators Office.
LESOHQ,2475780,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,2,39.41,2019-11-26 19:35:40.000002,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TRAINING AND OPERATIONS.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2451079,AK,ANCHORAGE POLICE DEPARTMENT,8415,DSMITTENS,"MITTENS, COLD WEATHER",PR,6,170.01,2019-10-07 18:40:07,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND OPERATIONS.,PAPERWORK: Your agency must have a State Plan of Operation SPO uploaded into FEPMIS before requesting excess DoD property in RTD Web. Please contact your LESO State Coordinators Office.
LESOHQ,2451078,AK,ANCHORAGE POLICE DEPARTMENT,8415,DSMITTENS,"MITTENS, COLD WEATHER",PR,2,170.01,2019-10-07 18:40:07,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND OPERATIONS.,PAPERWORK: Your agency must have a State Plan of Operation SPO uploaded into FEPMIS before requesting excess DoD property in RTD Web. Please contact your LESO State Coordinators Office.
LESOHQ,2466544,AL,AL STATE PARKS DIV,2340,DSCART000,"CART, MOTORIZED",EA,1,8515,2019-11-07 23:28:11.000001,"FOR USE BY LAW ENFORCEMENT AND LE SUPPORT PERSONNEL IN REMOTE AREAS AND IN AREAS WHERE FULL SIZE VEHICLES ARE NOT ABLE TO TRAVERSE, IN PATROLLING AND ENFORCING LAWS IN OUR 21 STATE PARK LOCATIONS.",ALLOCATION: Your agency is at their allocation limit or is over allocated for this National Stock Number (NSN) based on number of officers assigned.
LESOHQ,2466545,AL,AL STATE PARKS DIV,2340,DSCART000,"CART, MOTORIZED",EA,1,8515,2019-11-07 23:28:11.000001,"FOR USE BY LAW ENFORCEMENT AND LE SUPPORT PERSONNEL IN REMOTE AREAS AND IN AREAS WHERE FULL SIZE VEHICLES ARE NOT ABLE TO TRAVERSE, IN PATROLLING AND ENFORCING LAWS IN OUR 21 STATE PARK LOCATIONS.",ALLOCATION: Your agency is at their allocation limit or is over allocated for this National Stock Number (NSN) based on number of officers assigned.
LESOHQ,2466546,AL,AL STATE PARKS DIV,2340,DSCART000,"CART, MOTORIZED",EA,1,15631.74,2019-11-07 23:28:11.000001,"FOR USE BY LAW ENFORCEMENT AND LE SUPPORT PERSONNEL IN REMOTE AREAS AND IN AREAS WHERE FULL SIZE VEHICLES ARE NOT ABLE TO TRAVERSE, IN PATROLLING AND ENFORCING LAWS IN OUR 21 STATE PARK LOCATIONS.",ALLOCATION: Your agency is at their allocation limit or is over allocated for this National Stock Number (NSN) based on number of officers assigned.
LESOHQ,2453031,AL,AL STATE PARKS DIV,2330,006978102,"TRAILER,BASIC UTILITY",EA,2,1186,2019-10-10 14:05:19.999997,BOTH OF THESE TRAILERS ARE IDEAL FOR US TO MOUNT LESO SUPPLIED GENERATOR SETS AND ENVIRONMENTAL CONTROL UNITS TO PROVIDE ELECTRICAL POWER AND ECU CAPABILITIES IN REMOTE AREAS OF OUR PARKS AS WELL AS IN CASE OF A CATASTROPHIC LOSS OF POWER DUE TO SEVERE WEATHER EVENTS,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2459930,AL,AL STATE PARKS DIV,2340,DSCART000,"CART, MOTORIZED",EA,1,3000,2019-10-27 01:41:32.999997,TO BE USED BY LAW ENFORCEMENT RANGERS TO PATROL AND ENFORCE LAWS IN AREAS THAT ARE REMOTE OR RESTRICTED IN SIZE SO THAT FULL SIZE VEHICLES ARE NOT USABLE.,CANCELLED: Rolling stock property must have a photo uploaded into RTD.  Please contact the site to have them upload a picture of the property.
LESOHQ,2451008,AL,AL STATE PARKS DIV,2340,DSATV4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,14800.18,2019-10-07 16:38:41,TO BE USED BY AL STATE PARK RANGERS FOR PATROLLING AND LAW ENFORCEMENT IN REMOTE AREAS OF STATE PARKS,CANCELLED:  Item(s) has already been approved for another agency.
