Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2524804,AL,ALEXANDER CITY POLICE DEPT,6760,014912102,"CASE,PHOTOGRAPHIC E",EA,8,114.75,2020-03-13 13:20:07.000002,THESE CAN BE USED BY OUR OFFICERS TO STORE EQUIPMENT IN THEIR PATROL CARS WITHOUT THE WORRY OF IT BECOMING DAMAGED.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2530734,AL,ATMORE PD,2355,DSCOMBTV2,COMPLTE COMBAT/ASSAULT/TACTICAL WHLD VEH,EA,1,44994,2020-03-20 16:19:56.999997,THE ATMORE POLICE DEPARTMENT WILL USE THIS EQUIPMENT FOR CONDUCTING UNDERCOVER OPERATIONS AND FOR A TEMPORARY COMMAND CENTER DURING SPECIAL OPERATIONS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2518314,AL,ATMORE PD,7210,012860983,"TOWEL,BATH",EA,60,2.97,2020-03-04 10:52:13.999999,THE ATMORE POLICE DEPARTMENT WILL USE THIS EQUIPMENT FOR THE JAIL,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used. Property can only be used by employees of the requesting law enforcement agency."
LESOHQ,2512467,AL,BARBOUR COUNTY SHERIFF DEPT        ,2340,005403900,"SCOOTER,MOTOR",EA,1,5376.51,2020-02-23 11:17:46,THE BARBOUR COUNTY SHERIFFS OFFICE COULD USE THIS ATV FOR RURAL PATROL AND SPECIAL DETAILS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2512468,AL,BARBOUR COUNTY SHERIFF DEPT        ,2340,DSMULE000,MULE,EA,1,10000,2020-02-23 11:31:13.999996,THE BARBOUR COUNTY SHERIFF'S OFFICE COULD USE THIS ATV FOR RURAL PATROL AND SPECIAL DETAILS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2506413,AL,BOAZ POLICE DEPT,2340,016072482,ALL TERRAIN VEHICLE WHEELED,EA,2,14918,2020-02-11 16:57:32.999996,TO BE USED BY MUNICIPAL POLICE DEPARTMENT FOR DRUG ERADICATION IN REMOTE OR RURAL AREAS. ALSO TO BE USED BY OFFICERS TO HELP LOCATE MISSING OR ENDANGERED PEOPLE IN AREAS WHERE A NORMAL PATROL VEHICLE IS UNABLE TO TRAVEL AND ANY OTHER LAW ENFORCEMENT FUNCTION THAT IS OFF ROAD OR IN REMOTE AREAS WHERE A PATROL VEHICLE IS UNABLE TO TRAVEL. WILL ALSO BE USED BY OFFICERS TO PATROL IN SPECIAL COMMUNITY EVENTS IN PLACE OF FOOT PATROLS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2504303,AL,CALERA POLICE DEPT,2330,DSTRAILE1,TRAILER,EA,1,5744,2020-02-07 17:05:02,USED BY THE CALERA POLICE DEPARTMENTS SPECIAL OPERATIONS UNITS TO STORE AND TRANSPORT NEEDED EQUIPMENT TO AND FROM OPERATIONS DURING DUTIES.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2492304,AL,CENTRE POLICE DEPT,2320,DSPICKUP0,PICKUP,EA,1,10000,2020-01-09 12:00:40.999997,"OUR DEPARTMENT NEEDS A COUPLE OF DECENT VEHICLES TO USE FOR CASUAL PATROL DUE TO A LOSS OF TWO PATROL VEHICLES, BY FIRE AND A WRECK; UNTIL WE ARE ABLE TO BUDGET FOR REPLACEMENTS. THEY CAN THEN BE USED FOR NARCOTICS INVESTIGATION, AND GENERAL INVESTIGATION.",CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2492303,AL,CENTRE POLICE DEPT,2320,DSPICKUP0,PICKUP,EA,1,10000,2020-01-09 12:00:40.999997,"OUR DEPARTMENT HAS OVER THE LAST TWO WEEKS LOST ONE PATROL VEHICLE TO FIRE, AND ONE TO A WRECK. WE ARE NOT BUDGETED THIS FISCAL YEAR FOR ANY VEHICLES, AND ARE RECEIVING MINIMAL INSURANCE MONEY FOR THE TOTALED VEHICLES. WE COULD USE THIS TRUCK UNTIL WE ARE ABLE TO OBTAIN NEWER VEHICLES.",CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2532718,AL,COALING PD,2310,011112274,"TRUCK,AMBULANCE",EA,1,96466,2020-03-25 14:50:33,THIS VEHICLE WILL BE USED BY OUR POLICE DEPARTMENT FOR EMERGENCY RESPONSE DURING ADVERSE WEATHER AND OPERATIONS IN OFF ROAD SITUATIONS.,CANCELLED: Site is working on inventory issues
LESOHQ,2512613,AL,CULLMAN POLICE DEPT,2340,005403900,"SCOOTER,MOTOR",EA,1,5376.51,2020-02-24 09:54:43.000001,FOR USE BY THE POLICE AVIATION UNIT TO PULL 10-33  AIRCRAFT IN AND OUT OF HANGAR.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2508376,AL,DALE COUNTY SHERIFF OFFICE,2310,016231545,"UTILITY VEHICLE,OFF ROAD",EA,2,32000,2020-02-14 10:10:04,WE ARE REQUESTING THESE VEHICLE TO PATROL THE RURAL AREAS AND WATERWAYS OF OUR COUNTY. THE WILL BE USED FOR SEARCH AND RESCUE AND TACTICAL MISSIONS. THANK YOU FOR YOUR CONSIDERATION.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2505236,AL,DALE COUNTY SHERIFF OFFICE,2310,016231545,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2020-02-10 13:06:15.999998,WE ARE REQUESTING THE ATV FOR USE AS A PATROL VEHICLE IN RURAL HARD TO REACH AREAS IN OUR COUNTY PLUS SEARCH AND RESCUE. THANK YOU,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2501249,AL,DALE COUNTY SHERIFF OFFICE,6510,015864314,"BANDAGE,HEMORAGE CO",EA,30,8.6,2020-01-29 20:55:17.999999,WE REQUEST THESE TO ISSUE TO OUR DEPUTIES FOR TREATING SERIOUS INJURIES THEY OR THE PUBLIC MAY RECEIVE. THANK YOU,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2504273,AL,DALE COUNTY SHERIFF OFFICE,7110,016128456,"CHAIR,ROTARY",EA,7,294,2020-02-07 16:10:20.000001,"WE ARE REQUESTING THESE CHAIRS TO USE ON OUR SHERIFFS OFFICE, JAIL AND COMMAND CENTER.WE RECEIVED FOUR OF THESE CHAIRS AND THEY FIT OUR NEED PERFECTLY SO IF NO OTHER AGENCY REQUESTS THEM WE WOULD LIKE TO HAVE THEM. THANK YOU
",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2507340,AL,DALE COUNTY SHERIFF OFFICE,7021,DSNOTEBO1,NOTEBOOK COMPUTER,EA,8,150,2020-02-12 16:35:29.999996,WE ARE REQUESTING THESE COMPUTERS TO INSTALL IN OUR PATROL VEHICLES TO ENHANCE OUR MOBILE COMPUTING CAPABILITIES WHILE WORKING IN THE FIELD. THEY WILL BE USED FOR REPORT WRITING AND TRAFFIC CITATIONS. THANK YOU,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2492851,AL,DALE COUNTY SHERIFF OFFICE,7021,DSHANDHE0,HANDHELD DEVICE,EA,6,99.95,2020-01-10 16:28:49.999999,"WE ARE REQUESTING THESE COMPUTERS TO ENHANCE OUR MOBILE COMPUTING CAPABILITIES. THEY WILL BE USED FOR REPORT WRITING, TRAFFIC CITATIONS, WARRANT SERVICE. THANK YOU",CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,2492747,AL,DALE COUNTY SHERIFF OFFICE,7021,DSHANDHE0,HANDHELD DEVICE,EA,6,250,2020-01-10 13:39:52.000004,"WE ARE REQUESTING THESE TABLETS TO REFURBISH AND USE TO ENHANCE OUR MOBILE COMPUTING CAPABILITIES. THE WILL BE USED FOR REPORT WRITING, WARRANT SERVICE AND TRAFFIC ENFORCEMENT. THANK YOU",CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,2499306,AL,DALE COUNTY SHERIFF OFFICE,5855,015531162,THERMAL IMAGING SYSTEM,EA,1,9225.27,2020-01-26 17:52:07.999997,"WE ARE REQUESTING THIS DEVICE TO ENHANCE OUR LOW LIGHT CAPABILITIES ON PATROL, AVIATION, SEARCH AND RESCUE, AND TACTICAL MISSIONS. THANK YOU","CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of F, G or H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition."
LESOHQ,2506891,AL,DALEVILLE DEPT OF PUBLIC SAFETY,2340,016072482,ALL TERRAIN VEHICLE WHEELED,EA,3,14918,2020-02-12 11:16:21,THIS ITEM WILL BE USED FOR EVIDENCE COLLECTION AND SEARCH AND RESCUE BY OUR OFFICERS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2506050,AL,DALEVILLE DEPT OF PUBLIC SAFETY,2340,016072482,ALL TERRAIN VEHICLE WHEELED,EA,3,14918,2020-02-11 10:27:34.000001,THESE ITEMS WILL BE USED BY OUR OFFICERS TO TRAVERSE TERRAIN NOT SUITABLE FOR REGULAR VEHICLES TO COLLECT EVIDENCE SEARCH AND RESCUE AND OTHER TASKS.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2508503,AL,FAYETTE COUNTY SHERIFF DEPT,6220,016161079,HEADLIGHT,EA,1,122.52,2020-02-14 12:33:53.000001,THE FAYETTE COUNTY SHERIFF OFFICE WILL USE THIS ON OUR OFF ROAD PATROL VEHICLE.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2495454,AL,FAYETTE COUNTY SHERIFF DEPT,8145,015964724,"CASE,TEMPERATURE CO",EA,1,2557.05,2020-01-17 09:57:15.999999,THE FAYETTE COUNTY SHERIFF OFFICE WILL USE THESE FOR TRANSPORTING EVIDENCE TO AND FROM THE FORENSIC LAB.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2495453,AL,FAYETTE COUNTY SHERIFF DEPT,8145,015964724,"CASE,TEMPERATURE CO",EA,1,2557.05,2020-01-17 09:57:15.999999,THE FAYETTE COUNTY SHERIFF OFFICE WILL USE THESE FOR TRANSPORTING EVIDENCE TO AND FROM THE FORENSIC LAB.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2495452,AL,FAYETTE COUNTY SHERIFF DEPT,8145,015964724,"CASE,TEMPERATURE CO",EA,1,2557.05,2020-01-17 09:57:15.999999,THE FAYETTE COUNTY SHERIFF OFFICE WILL USE THESE FOR TRANSPORTING EVIDENCE TO AND FROM THE FORENSIC LAB.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2513535,AL,FAYETTE COUNTY SHERIFF DEPT,6115,015908412,"GENERATOR,ALTERNATING CURRENT-DIRECT CUR",EA,1,29696,2020-02-25 08:17:32.999997,THE FAYETTE COUNTY SHERIFF OFFICE WILL USE TO FOR LIGHTING DURING EMERGENCIES AND TRAINING OPERATIONS.,CANCELLED:  Agency has assigned - closed like items on their property book that can satisfy what is being asked in their justification. Please let the LESO know the status of the assigned-closed property and why the requested property is needed.
LESOHQ,2522644,AL,FORT PAYNE POLICE DEPT,7021,DSRUGGEDI,"LAPTOP COMPUTER, RUGGED",EA,6,2994,2020-03-10 16:04:48,TO BE USED FOR MOBILE FIELD OPERATIONS AND CONNECTING TO DISPATCH,CANCELLED:  Item(s) has already been approved for the CFL program.
LESOHQ,2500367,AL,HEADLAND POLICE DEPT,2320,DSTRUCK00,TRUCKS AND TRUCK TRACTORS,EA,1,21500,2020-01-28 10:46:37.000004,THE HEADLAND POLICE DEPARTMENT AND OFFICERS WOULD BENEFIT FROM THIS EQUIPMENT BY HAVING THE MEANS TO TRANSPORT AMD MOVE EQUIPMENT TO AREAS OF NEED IN THE CITY DURING EMERGENCIES.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2510540,AL,JEFFERSON COUNTY SHERIFF'S OFFICE,2330,012171477,"SEMITRAILER,LOW BED",EA,1,36988.65,2020-02-19 09:04:59.999998,THIS WILL BE USED TO TRANSPORT LARGE LAW ENFORCEMENT VEHICLES FOR MAINTENANCE AND TO INCIDENT RESPONSE SCENES.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2512438,AL,JEFFERSON COUNTY SHERIFF'S OFFICE,2340,005403900,"SCOOTER,MOTOR",EA,1,5376.51,2020-02-23 10:35:52.999996,"THIS UTV WILL BE USED TO TRANSPORT LAW ENFORCEMENT PERSONNEL TO HARD TO REACH INCIDENT SCENE LOCATIONS, AND DURING NATURAL DISASTERS.  .",CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2494974,AL,JEFFERSON COUNTY SHERIFF'S OFFICE,5855,014072300,"IMAGE INTENSIFIER,NIGHT VISION",EA,5,12739,2020-01-16 12:49:31.999996,TO BE ISSUED TO LAW ENFORCEMENT OFFICERS TO USE AS A TOOL TO ASSIST WITH NIGHT SEARCHES.,"CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of F, G or H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition."
LESOHQ,2490543,AL,MIDLAND CITY POLICE DEPARTMENT,7025,DSPRINT05,PRINTER,EA,2,400,2020-01-04 10:38:16.999999,THIS PRINTER WILL BENEFIT THE MIDLAND CITY POLICE DEPARTMENT AND POLICE OFFICERS WITH DOING EVERY DAY REPORTS AND PRINTING THE REPORTS OUT. ALSO IT WILL HELP THE DEPARTMENT WITH OTHER PRINTING THAT THE DEPARTMENT NEEDS.,"POC:  Your agency cannot be approved for property, as your agency does not have a Station Contact registered user in LESO FEPMIS. Please contact your State Coordinators office."
LESOHQ,2522822,AL,OXFORD POLICE DEPT,2340,DSATV4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,7411,2020-03-10 23:29:48.999995,THIS WILL BE USED TO CARRY PERSONNEL DURING SPECIAL OPERATIONS MISSIONS AND DURING SPECIAL EVENTS,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
