Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2105822,AK,ANCHORAGE POLICE DEPARTMENT,8415,014571562,"GLOVES,COLD WEATHER",PR,2,78.97,2018-02-28 15:36:32,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2105823,AK,ANCHORAGE POLICE DEPARTMENT,8415,014571549,"GLOVES,COLD WEATHER",PR,7,78.97,2018-02-28 15:36:32,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2105824,AK,ANCHORAGE POLICE DEPARTMENT,8415,DSGLOVESW,"GLOVES, COLD WEATHER",EA,3,170.01,2018-02-28 15:36:32,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2127100,AK,ANCHORAGE POLICE DEPARTMENT,7240,DSTRASHCA,TRASH CAN,EA,8,124,2018-03-22 13:26:02,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2103643,AK,ANCHORAGE POLICE DEPARTMENT,8415,DSGLOVESW,"GLOVES, COLD WEATHER",EA,3,170.01,2018-02-24 13:13:28,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2129759,AK,ANCHORAGE POLICE DEPARTMENT,4910,014906453,"TOOL SET,SATS,BASE",SE,1,210000,2018-03-23 13:22:18,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,2103641,AK,ANCHORAGE POLICE DEPARTMENT,8415,014571562,"GLOVES,COLD WEATHER",PR,2,78.97,2018-02-24 13:13:28,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2103642,AK,ANCHORAGE POLICE DEPARTMENT,8415,014571549,"GLOVES,COLD WEATHER",PR,7,78.97,2018-02-24 13:13:28,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2093671,AL,ABBEVILLE POLICE DEPT,2340,DSATVGATO,"ALL TERRAIN VEHICLE, AG/BVUS",EA,1,7847.48,2018-02-07 10:40:54,"ABBEVILLE PD COULD USE THIS ITEM DURING CITY EVENTS, SEARCH AND RESCUE MISSIONS, AS WELL AS MARIJUANA ERADICATION.",CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2081584,AL,ABBEVILLE POLICE DEPT,3805,DSEARTHMO,EARTH MOVING AND EXCAVATING EQUIPMENT,EA,1,38546,2018-01-15 15:12:53,ITEM WOULD BE USED TO HELP CONSTRUCT NEW ADDITION  AND MAINTAIN OUR CURRENT FIRING RANGE WHICH IS USED BY OUR SWAT AND POLICE DEPARTMENT TO INCLUDE NEIGHBORING SMALLER AGENCIES WHICH TRAIN WITH OUR DEPARTMENT .    HAVING THE EQUIPMENT WOULD REDUCING  THE COST OF RENTING SIMILAR EQUIPMENT.,CANCELLED:  Item(s) has already been approved for another agency.
