State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Shipped,Justification
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73554696,8465,014456274,MODULAR SLEEP SYSTE,EA,1,262.6,2018-01-05 00:00:00,FOR LAW ENFORCEMENT USE DURING EMERGENCY RESPONSE.
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ73565074,3805,DSEARTHMO,EARTH MOVING AND EXCAVATING EQUIPMENT,EA,1,104462.22,2018-01-05 00:00:00,"THIS IS FOR USE BY THE DEPT. OF PUBLIC SAFETY, ALASKA STATE TROOPERS.  THIS EQUIPMENT WILL BE UTILIZED TO MAINTAIN THE EMERGENCY RESPONSE AREAS USED BY EMERGENCY RESPONSE VEHICLES BY THE DEPT. IT WILL ENSURE ALL VEHICLES CAN EXIT THE POST FOR EMERGENCIES BY KEEPING THE LOTS, GARAGE EXITS AND DISPATCH AREA LOTS CLEAR FOR PROPER RESPONSES DURING INCLEMENT WEATHER DURING 9 MONTHS OF THE YEAR--WINTER CONDITIONS. THIS EQUIPMENT WILL KEEP ALL LOTS CLEAR OF ICE AND SNOW ENABLING EMERGENCY RESPONSES."
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ80240535,6230,DSLIGHT01,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",EA,1,325,2018-02-06 00:00:00,ANCHORAGE POLICE DEPT.  USED FOR THEIR SWAT EQUIPMENT FOR PUBLIC SAFETY.
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ80240536,6230,DSLIGHT01,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",EA,8,325,2018-02-06 00:00:00,ANCHORAGE POLICE DEPT.  USED FOR THEIR SWAT EQUIPMENT FOR PUBLIC SAFETY.
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ80250760,8415,009353130,"INSECT NET,HEAD",EA,26,17.69,2018-02-07 00:00:00,"STATE OF ALASKA_x000D_
DEPARTMENT OF PUBLIC SAFETY_x000D_
AWT_x000D_
TO BE USED FOR MOSQUITO AND INSECT PROTECTION FOR TROOPERS IN THE FIELD IN RURAL ALASKA"
AK,ALASKA DEPT OF PUBLIC SAFETY LEA,2YTPEJ80301814,8540,013786218,"PAPER,TOILET",BX,8,33.14,2018-02-07 00:00:00,"STATE OF ALASKA_x000D_
DEPARTMENT OF PUBLIC SAFETY_x000D_
TROOPER ACADEMY_x000D_
TO BE USED TO SUPPLY RESTROOMS AT THE TROOPER ACADEMY FACILITY."
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73337783,8415,015386706,"TROUSERS,EXTREME CO",EA,1,106.44,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73337900,8415,015386278,"PARKA,EXTREME COLD",EA,1,116.45,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73337903,8415,015459955,"TROUSERS,EXTREME CO",EA,2,106.44,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73337904,8465,011093369,"MAT,SLEEPING",EA,30,9.54,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73337905,8465,013936515,"MAT,SLEEPING,SELF-I",EA,20,52.5,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73337906,8465,013936515,"MAT,SLEEPING,SELF-I",EA,8,52.5,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER TRAINING AND INVESTIGATIONS.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73460044,1385,015349828,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",EA,5,173218,2018-01-24 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT BOMB SQUAD IN RENDER SAFE PROCEDURES.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73470884,8415,007826715,"MITTEN SET,EXTREME",PR,7,41.6,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73470885,8415,007826716,"MITTEN SET,EXTREME",PR,14,35.68,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.
AK,ANCHORAGE POLICE DEPARTMENT,2YTN5E73470900,8415,007826717,"MITTEN SET,EXTREME",PR,13,41.6,2018-01-02 00:00:00,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN COLD WEATHER INVESTIGATIONS AND TRAINING.
