Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2301597,AK,ANCHORAGE POLICE DEPARTMENT,8465,004332073,"CLIPBOARD,PILOT'S",EA,1,54.9,2019-01-14 15:12:34.999998,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT  IN TRAINING AND OPERATIONS.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2346291,AK,ANCHORAGE POLICE DEPARTMENT,7105,DSCHAIRUP,"CHAIR, UPHOLSTERED",EA,2,50,2019-03-22 19:39:13.000003,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OFFICE DECOR.,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,2307688,AK,ANCHORAGE POLICE DEPARTMENT,7830,DSTREADM1,TREADMILL,EA,2,3500,2019-01-24 20:19:38.000001,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2323480,AK,ANCHORAGE POLICE DEPARTMENT,3805,DSEARTHMO,EARTH MOVING AND EXCAVATING EQUIPMENT,EA,1,80306,2019-02-16 14:51:51.000002,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TACTICAL OPERATIONS AND TRAINING. VITAL TO THE MISSION OF THE ANCHORAGE POLICE DEPARTMENT.,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,2330654,AK,ANCHORAGE POLICE DEPARTMENT,8405,013951210,"TROUSERS,MEN'S",PR,200,20.8,2019-02-26 17:22:03.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN TRANSPORTING SUSPECTS AND PRISONERS.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2305063,AL,AL STATE PARKS DIV LEA,6115,012747387,"GENERATOR SET,DIESEL ENGINE",EA,6,12797.7,2019-01-19 17:38:41.000003,TO PROVIDE STAND BY EMERGENCY AND OR REMOTE ELECTRICAL POWER TO SUPPORT AL STATE PARKS LAW ENFORCEMENT OPERATIONS,CANCELLED:  Agency has assigned - closed like items on their property book that can satisfy what is being asked in their justification. Please let the LESO know the status of the closed property and why the requested property is needed.
LESOHQ,2339378,AL,ALBERTVILLE POLICE DEPT,2320,DSPICKUP0,PICKUP,EA,1,28770,2019-03-12 09:33:19.000002,THE ALBERTVILLE POLICE DEPT. HAS A SIX PERSON DETECTIVE DIVISION WITH AN AGING FLEET OF SEDANS. THIS VEHICLE WILL BE USED TO REPLACE ONE OF THESE AGING VEHICLES TO ENABLE A DETECTIVE TO BETTER PREFORM THEIR INVESTIGATIVE DUTIES.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2304144,AL,ATHENS POLICE DEPARTMENT,7360,015004644,"KITCHEN,FIELD,TRAILER MOUNTED",EA,1,145000,2019-01-17 17:37:12.000003,"ATHENS POLICE DEPARTMENT WOULD USE THIS TRAILER TO FEED OFFICERS DURING TRAINING OR RESPONSES TO NATURAL DISASTERS, ETC.  WE ARE ALSO CONSIDERING ITS USE AS PART OF A POLICE - COMMUNITY OUTREACH PROGRAM AT LOCAL PICNICS HOSTED BY OUR DEPARTMENT.",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2312890,AL,COFFEE COUNTY SHERIFF OFFICE,2340,016072482,ALL TERRAIN VEHICLE WHEELED,EA,3,14918,2019-02-01 08:40:16,THESE ATVS WILL BE USED BY THE COFFEE COUNTY SHERIFF'S OFFICE TO ASSIST IN SEARCH AND RESCUE OPERATIONS IN ROUGH TERRAIN.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2307916,AL,COFFEE COUNTY SHERIFF OFFICE,2340,DSMTRCYCL,MOTORCYCLE,EA,1,99999,2019-01-25 09:34:13.999996,THIS WILL BE USED BY THE SHERIFF'S OFFICE AS A RECRUITMENT TOOL AND AS A DISPLAY AT COMMUNITY OUTREACH EVENTS.,CANCELLED:  Item(s) has already been approved for another agency.
