State,Requesting Agency Name,Equipment Requested,Quantity Approved,Date Request was Approved (Pending Allocation)
SC,Beaufort CSO,Cargo Truck,1,2017-05-10 00:00:00
SC,Beaufort CSO,Cargo Truck,1,2017-05-10 00:00:00
SC,Beaufort CSO,Cargo Truck,1,2017-05-10 00:00:00
SC,Campobello PD,HMMWV,2,2016-12-06 00:00:00
SC,Cherokee CSO,HMMWV,6,2016-09-30 00:00:00
SC,Cherokee CSO,UAH,2,2017-03-28 00:00:00
SC,City of Charleston PD,Truck Cargo,1,2017-03-21 00:00:00
SC,Fairfield CSO,HMMWV,3,2016-08-16 00:00:00
SC,Florence Regional Airport Police,HMMWV,1,2016-08-19 00:00:00
SC,Folly Beach DPS,LMTV,2,2017-04-13 00:00:00
SC,Folly Beach DPS,Truck Utility,2,2017-04-13 00:00:00
SC,Folly Beach DPS,UAH,2,2017-04-13 00:00:00
SC,Georgetown CSO,"Truck, Cargo",2,2016-11-09 00:00:00
SC,Hampton CSO,MRAP,1,2017-05-25 00:00:00
SC,Hampton CSO,LMTV,2,2017-05-25 00:00:00
SC,Inman PD,HMMWV,3,2016-08-16 00:00:00
SC,Jasper CSO,LMTV,1,2017-06-15 00:00:00
SC,Jasper CSO,LMTV,1,2017-06-15 00:00:00
SC,Jasper CSO,LMTV,1,2017-06-15 00:00:00
SC,Jasper CSO,HMMWV,1,2017-06-15 00:00:00
SC,Jasper CSO,HMMWV,1,2017-06-15 00:00:00
SC,Jasper CSO,HMMWV,1,2017-06-15 00:00:00
SC,Lake View PD,HMMWV,1,2016-12-19 00:00:00
SC,Lake View PD,"Truck, Cargo",1,2016-12-19 00:00:00
SC,Laurens CSO,HMMWV,4,2017-04-12 00:00:00
SC,Laurens CSO,LMTV,1,2017-04-12 00:00:00
SC,Laurens CSO,LMTV,1,2017-04-12 00:00:00
SC,Laurens CSO,LMTV,1,2017-04-12 00:00:00
SC,Laurens PD,HMMWV,1,2017-03-28 00:00:00
SC,Laurens PD,HMMWV,1,2017-03-28 00:00:00
SC,Laurens PD,UAH,1,2017-05-17 00:00:00
SC,Mount Pleasant PD,LMTV,1,2017-05-23 00:00:00
SC,Mount Pleasant PD,LMTV,1,2017-05-23 00:00:00
SC,Newberry County SO,Truck Cargo,1,2017-02-07 00:00:00
SC,Newberry County SO,Truck Cargo,1,2017-02-07 00:00:00
SC,Oconee County SO,UAH,2,2017-03-03 00:00:00
SC,Pickens Police Department,HMMWV,1,2016-08-01 00:00:00
SC,Port Royal PD,Truck Cargo,4,2017-02-07 00:00:00
SC,South Carolina Law Enforcement Division,"Riot Batons
Riot Helmets
Riot Shields","200
200
200",2016-10-11 00:00:00
SC,Summerville PD,LMTV,3,2017-05-12 00:00:00
SC,Union CSO,HMMWV,5,2017-01-24 00:00:00
SC,Williamsburg CSO,Truck Cargo,4,2017-03-10 00:00:00
SC,Williamsburg CSO,Truck Utility,4,2017-03-10 00:00:00
SC,York CSO,Breaching Apparatus,25,2017-04-28 00:00:00
SC,York CSO,Riot Batons ,150,2017-04-28 00:00:00
SC,York CSO,Riot Helmets,150,2017-04-28 00:00:00
SC,York CSO,Riot Shields,150,2017-04-28 00:00:00
SD, Highway Patrol,UAH,2 EP,2017-03-03 00:00:00
SD,Pennington CSO,MRAP,1,2017-06-20 00:00:00
SD,Pennington CSO,UAH,1,2017-06-20 00:00:00
SD,Tripp CSO,UAH,1,2017-05-09 00:00:00
TN,18th Judicial DTF,MRAP,1,2016-02-29 00:00:00
TN,24th Drug Task Force (DTF),HMMWV,1,2016-02-11 00:00:00
TN,24th Drug Task Force (DTF),HMMWV,1,2016-02-11 00:00:00
TN,24th Drug Task Force (DTF),Truck Dump,1,2016-02-11 00:00:00
TN,24th Drug Task Force (DTF),Truck Cargo,1,2016-02-11 00:00:00
TN,Alamo PD,UAH,1,2017-06-30 00:00:00
TN,Alamo PD,Truck Cargo,1,2017-06-30 00:00:00
TN,Alamo PD,Truck Dump,1,2017-06-30 00:00:00
TN,Benton CSO,Dump Truck,2,2016-10-25 00:00:00
TN,Benton CSO,Truck Tank,2,2016-10-25 00:00:00
TN,Benton CSO,Truck Van,2,2016-10-25 00:00:00
TN,Benton CSO,"Truck, Cargo",2,2016-10-25 00:00:00
TN,Benton CSO,Utility Vehicle,2,2016-10-25 00:00:00
TN,Blount CSO,HMMWV,8,2016-06-27 00:00:00
TN,Brownsville PD,HMMWV,2,2016-04-04 00:00:00
TN,Crossville PD,HMMWV,1,2016-09-16 00:00:00
TN,Crossville PD,MRAP,1,2016-06-27 00:00:00
TN,Cumberland CSO,HMMWV,1,2016-11-29 00:00:00
TN,Cumberland CSO,"Truck, Cargo",1,2016-11-29 00:00:00
TN,Grand Junction PD,HMMWV,1,2017-05-10 00:00:00
TN,Greene CSO,HMMWV,1,2016-06-07 00:00:00
TN,Greene CSO,"Truck, Cargo",2,2016-06-07 00:00:00
TN,Hardeman County SO,"HMMWV
Dump Truck","1
1",2016-01-27 00:00:00
TN,Hardin County SO,HMMWV,5,2016-01-27 00:00:00
TN,Hohenwald,HMMWV,2,2017-04-19 00:00:00
TN,Hohenwald,Truck Tractor,1,2017-04-19 00:00:00
TN,Humphreys CSO,MRAP,1,2017-04-19 00:00:00
TN,Humphreys CSO,UAH,1,2017-04-19 00:00:00
TN,Johnson City PD,HMMWV,2,2016-06-27 00:00:00
TN,Lawrenceburg PD,HMMWV,2,2016-11-28 00:00:00
TN,Lawrenceburg PD,Truck Tractor,2,2016-11-28 00:00:00
TN,Lawrenceburg PD,"Truck, Cargo",2,2016-11-28 00:00:00
TN,Lexington PD,"HMMWV
Truck Tractor
Dump Truck
Cargo Truck","4
2
2
2",2016-01-27 00:00:00
TN,Loudon County SO,HMMWV,15,2015-11-02 00:00:00
TN,Madison CSO,Truck Maint,2,2016-11-29 00:00:00
TN,Madison CSO,Truck Tank,2,2016-11-29 00:00:00
TN,Madison CSO,"Truck, Cargo",2,2016-11-29 00:00:00
TN,Madison CSO,"Truck, Dump",2,2016-11-29 00:00:00
TN,Millersville PD,HMMWV,3,2017-01-04 00:00:00
TN,Millersville PD,"Truck, Cargo",1,2017-01-04 00:00:00
TN,Millersville PD,"Truck, Dump",1,2017-01-04 00:00:00
TN,Montgomery CSO,UAH,1,2016-11-30 00:00:00
TN,Morristown PD,LAV,1,2016-06-27 00:00:00
TN,Moscow,HMMWV,1,2016-04-15 00:00:00
TN,Mt. Juliet PD,HMMWV,5,2017-01-19 00:00:00
TN,Oak Ridge PD,HMMWV,2,2016-09-30 00:00:00
TN,Putnam County SO,"Truck, Cargo",2,2016-01-27 00:00:00
TN,Putnam County SO,Truck Dump,2,2016-01-27 00:00:00
TN,Robertson CSO,UAH,1,2016-12-21 00:00:00
TN,Savannah PD,Truck cargo,2,2017-03-03 00:00:00
TN,Savannah PD,Truck Dump,2,2017-03-03 00:00:00
TN,Savannah PD,Truck Utility,6,2017-03-03 00:00:00
TN,Savannah PD,Truck Wrecker,1,2017-03-03 00:00:00
TN,Spring Hill PD,UAH,1,2017-04-13 00:00:00
TN,Trenton PD,HMMWV,1,2016-04-07 00:00:00
TN,Wartburg PD,HMMWV,1,2017-06-15 00:00:00
TX,Abernathy PD,Breaching Apparatus,5,2016-01-28 00:00:00
TX,Abernathy PD,Riot Batons,5,2016-01-28 00:00:00
TX,Abernathy PD,Riot Helmets,5,2016-01-28 00:00:00
TX,Abernathy PD,Riot Shields,5,2016-01-28 00:00:00
TX,Anderson CSO,UAH,1,2017-06-30 00:00:00
TX,Crystal City PD,HMMWV,2,2016-08-09 00:00:00
TX,DUNCANVILLE PD,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","63
63
63
63",2016-01-15 00:00:00
TX,DUNCANVILLE PD,Capability Set,1,2016-10-12 00:00:00
TX,Flower Mound PD,MRAP,1,2015-12-15 00:00:00
TX,Freeport Police Dept,"Riot Helmets
Riot Shields","20
20",2016-03-22 00:00:00
TX,FULSHEAR POLICE DEPT,Breaching Apparatus ,10,2016-01-28 00:00:00
TX,Gainesville PD,HMMWV,1,2017-01-23 00:00:00
TX,Gray CSO,Truck Utility,2,2017-03-10 00:00:00
TX,Harris County Constable PCT 5,HMMWV,2,2016-08-09 00:00:00
TX,Harris County Constable PCT 5,"Truck, Cargo",1,2016-08-09 00:00:00
TX,Harris County Sheriff,"Breaching App
Riot Batons
Riot Helmets
Riot Shields","100                        500
500
200        ",2017-02-16 00:00:00
TX,Harris County Sheriff,UAH,1,2017-04-13 00:00:00
TX,Harrison CSO,HMMWV,1,2017-02-13 00:00:00
TX,Hays County SO,HMMWV,2,2016-04-07 00:00:00
TX,Hidalgo CSO,HMMWV,1,2017-05-09 00:00:00
TX,Hidalgo CSO,Truck Cargo,2,2017-05-09 00:00:00
TX,Hopkins CSO,HMMWV,2,2016-12-22 00:00:00
TX,Houston PD,HMMWV,6,2016-02-11 00:00:00
TX,Houston PD,Truck Cargo,6,2017-03-03 00:00:00
TX,JEFFERSON CO SHERIFF,Capabilities Set,1,2016-06-23 00:00:00
TX,Magnolia PD,"Truck, Cargo Van",1,2017-01-19 00:00:00
TX,Marshall PD,MRAP,1,2015-12-15 00:00:00
TX,Normangee PD,HMMWV,1,2016-05-05 00:00:00
TX,Olney PD,HMMWV,2,2016-05-26 00:00:00
TX,Quitman PD,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","7
7
7
7",2017-02-03 00:00:00
TX,Quitman PD,HMMWV,2,2017-02-03 00:00:00
TX,Rancho Viejo PD,HMMWV,1,2017-05-17 00:00:00
TX,Rio Hondo PD,"HMMWV
LMTV 2.5 Ton Truck","1
1",2016-01-27 00:00:00
TX,San Jacinto County SO,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","6
45
45
45",2016-04-07 00:00:00
TX,San Jacinto County SO,"HMMWV
Cargo/VanTrucks","6
6",2016-04-21 00:00:00
TX,San Jacinto County SO,MRAP,1,2016-04-21 00:00:00
TX,Seymour PD,HMMWV,1,2016-09-16 00:00:00
TX,Valley View PD,Suburban,1,2017-02-03 00:00:00
TX,Valley View PD,"Truck, Cargo",1,2016-10-25 00:00:00
TX,Weatherford College PD,Mamba,1,2015-12-08 00:00:00
TX,Wheeler CSO,"Truck, Cargo",1,2016-09-30 00:00:00
TX,Whitney PD,HMMWV,1,2016-12-20 00:00:00
TX,Wise County SO,MRAP,2,2016-01-06 00:00:00
TX,Wolfe City PD,"HMMWV
LMTV Cargo Truck","1
1",2016-03-30 00:00:00
VA,Frederick CSO,"Truck, Cargo",4,2016-12-19 00:00:00
VA,Luray PD,HMMWV,2,2017-01-19 00:00:00
WA,Grant County SO,MRAP,2,2016-01-06 00:00:00
WA,Kitsap CSO,UAH,2,2016-10-12 00:00:00
WA,Lewis CSO,HMMWV,2,2016-06-27 00:00:00
WA,Lewis CSO,"Truck, Cargo",2,2016-06-27 00:00:00
WA,Milton PD,HMMWV,1,2016-08-16 00:00:00
WA,Okanogan CSO,MRAP,1,2016-05-05 00:00:00
WI,Bayfield CSO,UAH,1,2017-06-06 00:00:00
WI,Sauk CSO,Breaching App,95,2016-10-18 00:00:00
WI,Sauk CSO,Riot Batons,95,2016-10-18 00:00:00
WI,Sauk CSO,Riot Helmets,95,2016-10-18 00:00:00
WI,Sauk CSO,Riot Shields,95,2016-10-18 00:00:00
WI,Sauk County SO,MRAP,1,2016-01-27 00:00:00
WI,Vernon CSO,UAH,1,2017-06-06 00:00:00
WI,Vilas CSO,Peacekeeper,1,2016-09-30 00:00:00
WV,Alderson PD,HMMWV,1,2016-09-30 00:00:00
WV,Alderson PD,"Truck, Cargo",1,2016-09-30 00:00:00
WV,Fairmont PD,HMMWV,1,2016-06-27 00:00:00
WV,Fairmont PD,HMMWV,1,2016-06-27 00:00:00
WV,Fairmont PD,HMMWV,1,2016-06-27 00:00:00
WV,Fayette County SO,HMMWV,4,2016-02-11 00:00:00
WV,Keyser City PD,HMMWV,2,2016-02-11 00:00:00
WV,Moundsville PD,HMMWV,2,2016-02-11 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,HMMWV,1,2016-01-27 00:00:00
WV,West Virginia State Police,UAH,1,2016-12-19 00:00:00
WV,West Virginia State Police,UAH,1,2016-12-19 00:00:00
WV,West Virginia State Police,UAH,1,2016-12-19 00:00:00
